,patch_id,star_id_b,star_id_r,magnitude_b,magnitude_r,asc_d,asc_m,asc_s,dec_d,dec_m,dec_s,period,frequency,num_points_good_b,num_points_good_r,asym_b,asym_r,log_p_not_variable,sigma_flux_b,sigma_flux_r,type,quality,div_period
610_1787,610.0,1787.0,1860.0,19.774,19.3701,5.0,3.0,17.08,-69.0,53.0,14.74,0.92706,1.07868,114.0,111.0,3.22222,1.41304,-7.23756,26.6359,30.1746,3.0,2.0,2.0
107_4902,107.0,4902.0,5171.0,17.963,17.5189,5.0,42.0,30.54,-70.0,4.0,37.99,3.32597,0.300664,124.0,120.0,1.17544,1.18182,-8.58145,105.341,158.499,3.0,2.0,8.0
650_2440,650.0,2440.0,2164.0,19.082,18.503,5.0,1.0,26.68,-66.0,52.0,17.28,1.15635,0.86479,117.0,110.0,2.9,1.34043,-10.3193,43.1709,63.7888,3.0,2.0,2.0
136_7904,136.0,7904.0,8334.0,19.4103,19.1529,5.0,41.0,36.59,-70.0,22.0,53.26,0.8938780000000001,1.1187200000000002,124.0,122.0,1.03279,0.487805,-0.292771,27.4216,31.9129,3.0,1.0,2.0
494_797,494.0,797.0,853.0,15.8432,15.6671,5.0,12.0,53.14,-69.0,9.0,50.0,66.24600000000001,0.0150953,117.0,120.0,0.8870969999999999,1.22222,-0.475629,721.9789999999998,868.193,1.0,0.0,7.0
481_9611,481.0,9611.0,8979.0,19.2628,18.7307,5.0,12.0,35.5,-66.0,49.0,51.5,1.27377,0.785071,117.0,114.0,2.07895,1.375,-3.1154,33.0947,52.5257,3.0,2.0,3.0
570_9170,570.0,9170.0,8702.0,19.8486,19.4627,5.0,6.0,22.62,-67.0,46.0,58.96,0.590785,1.6926599999999998,119.0,115.0,2.21622,0.916667,-8.299539999999999,20.8728,25.8225,3.0,2.0,1.0
597_3907,597.0,3907.0,3742.0,15.7066,15.4743,5.0,4.0,26.65,-67.0,24.0,6.01,18.0879,0.0552856,119.0,119.0,0.8307690000000001,0.265957,-4.40592,824.8439999999998,984.674,2.0,2.0,2.0
268_9535,268.0,9535.0,10634.0,14.7783,15.4942,5.0,28.0,38.3,-68.0,54.0,6.3,1.99092,0.5022800000000001,123.0,125.0,2.23684,0.689189,-0.204941,2015.0,993.041,3.0,0.0,2.0
26_5756,26.0,5756.0,5962.0,19.7421,18.98,5.0,49.0,38.75,-70.0,37.0,2.88,10.8667,0.0920243,112.0,109.0,2.39394,1.09615,-4.53648,24.5515,40.1956,2.0,1.0,8.0
489_10542,489.0,10542.0,10787.0,19.3988,18.861,5.0,11.0,50.91,-68.0,19.0,6.89,1.14111,0.87634,116.0,119.0,1.41667,1.58696,-1.01531,29.1887,47.7942,3.0,1.0,5.0
242_9581,242.0,9581.0,10810.0,19.6213,18.791,5.0,30.0,47.18,-69.0,20.0,57.82,2.20186,0.454161,102.0,97.0,1.4878,0.8653850000000001,-2.52167,24.7691,49.041,3.0,1.0,6.0
42_9355,42.0,9355.0,8636.0,18.2599,18.3308,5.0,45.0,0.2,-68.0,27.0,49.05,4.11969,0.242737,122.0,122.0,0.12963,0.418605,-6.7053699999999985,70.5902,71.1151,1.0,1.0,2.0
242_2295,242.0,2295.0,2470.0,16.9222,14.9804,5.0,31.0,43.98,-69.0,13.0,54.02,108.527,0.009214299999999998,102.0,97.0,1.55,0.732143,-4.26605,289.644,1591.09,4.0,1.0,1.0
613_5146,613.0,5146.0,5013.0,18.353,16.0697,5.0,1.0,19.76,-70.0,31.0,50.76,247.05900000000003,0.00404762,117.0,119.0,1.38776,0.383721,-15.484000000000002,74.9487,531.5930000000002,4.0,2.0,2.0
501_10265,501.0,10265.0,10272.0,19.3626,18.7134,5.0,10.0,58.42,-70.0,37.0,23.79,0.520779,1.9202,118.0,119.0,2.47059,0.8888889999999999,-4.89486,32.1912,52.1141,3.0,2.0,1.0
527_7931,527.0,7931.0,8212.0,15.6237,15.3812,5.0,9.0,37.54,-70.0,17.0,31.33,11.6634,0.0857383,118.0,120.0,1.40816,1.0339,-9.02204,943.468,1126.2,2.0,2.0,2.0
353_5075,353.0,5075.0,5445.0,19.2093,18.1206,5.0,22.0,2.25,-69.0,4.0,4.77,5.30841,0.18838,122.0,119.0,0.14018699999999998,0.506329,-0.377964,27.5573,86.0826,1.0,0.0,1.0
563_3496,563.0,3496.0,3270.0,16.7971,16.2148,5.0,7.0,19.75,-66.0,16.0,35.93,13.6497,0.0732617,118.0,120.0,2.6875,1.06897,-4.91073,376.034,523.113,2.0,2.0,4.0
139_1484,139.0,1484.0,1449.0,18.3757,15.565,5.0,42.0,18.69,-70.0,52.0,55.07,456.522,0.00219047,123.0,124.0,1.6739099999999998,1.21429,-13.5622,78.6617,966.702,4.0,2.0,3.0
141_353,141.0,353.0,261.0,19.3413,18.9276,5.0,36.0,44.69,-65.0,58.0,8.04,1.2286,0.8139350000000001,95.0,87.0,2.95833,1.80645,-6.04318,33.599000000000004,46.1277,3.0,2.0,3.0
71_5325,71.0,5325.0,5197.0,19.6042,19.0428,5.0,42.0,57.41,-68.0,33.0,22.01,2.73904,0.365091,122.0,121.0,1.17857,0.890625,-5.1814800000000005,23.8891,37.6253,3.0,2.0,9.0
136_9771,136.0,9771.0,10304.0,17.2374,16.1773,5.0,40.0,52.01,-70.0,22.0,36.41,13.4057,0.0745951,124.0,124.0,3.76923,1.81818,-9.63361,253.624,566.465,2.0,3.0,6.0
649_1969,649.0,1969.0,1995.0,16.6676,16.2703,5.0,1.0,50.67,-66.0,36.0,10.9,9.91732,0.100834,119.0,112.0,1.05172,0.454545,-3.20568,343.215,470.939,2.0,2.0,6.0
622_2484,622.0,2484.0,2105.0,19.1394,18.9277,5.0,3.0,25.42,-66.0,50.0,15.51,0.849894,1.17662,116.0,117.0,2.51515,1.20755,-8.90629,40.7662,44.0516,3.0,2.0,2.0
297_2453,297.0,2453.0,2870.0,18.8319,18.6178,5.0,27.0,6.55,-69.0,0.0,45.36,4.68491,0.21345100000000006,123.0,125.0,1.92857,1.55102,-3.58616,53.2362,60.0798,3.0,2.0,9.0
747_8651,747.0,8651.0,9114.0,16.3863,15.3301,4.0,52.0,5.59,-69.0,23.0,26.98,4.2343199999999985,0.236165,118.0,115.0,3.21429,4.22727,-5.86665,622.393,1410.4,2.0,3.0,3.0
348_5930,348.0,5930.0,6577.0,19.1948,18.6895,5.0,23.0,39.34,-68.0,9.0,26.83,3.37786,0.296045,123.0,125.0,2.96774,1.31481,-7.50998,38.7855,54.6579,3.0,2.0,5.0
490_3396,490.0,3396.0,3333.0,19.1279,18.0819,5.0,12.0,13.99,-68.0,26.0,3.08,1.31349,0.7613310000000001,118.0,120.0,1.10714,2.75,-1.02723,35.7377,98.4674,3.0,2.0,6.0
260_9243,260.0,9243.0,9556.0,13.8298,14.2027,5.0,28.0,2.53,-67.0,25.0,22.59,3.982580000000001,0.251094,123.0,116.0,2.32432,2.1351400000000003,-4.4135,5224.69,3936.65,3.0,0.0,4.0
640_8658,640.0,8658.0,8904.0,19.499,18.8741,4.0,59.0,58.89,-70.0,25.0,17.0,0.603509,1.65698,116.0,118.0,1.07143,0.616438,0.330172,25.6021,43.1709,3.0,1.0,1.0
196_3565,196.0,3565.0,3803.0,16.6344,15.7447,5.0,36.0,53.41,-71.0,8.0,8.6,10.8163,0.0924531,100.0,105.0,2.84615,0.7796609999999999,-1.17559,468.102,780.063,2.0,2.0,3.0
179_3220,179.0,3220.0,3300.0,19.6943,19.0598,5.0,34.0,54.56,-67.0,50.0,1.12,2.76956,0.361068,124.0,119.0,1.25455,1.33333,-7.09427,21.8387,38.8264,3.0,2.0,5.0
170_4018,170.0,4018.0,4302.0,19.1566,18.9091,5.0,33.0,41.33,-66.0,6.0,43.3,15.8312,0.0631664,121.0,118.0,0.0614035,0.26881700000000003,-4.70389,30.5636,37.8616,1.0,0.0,1.0
320_4133,320.0,4133.0,4058.0,16.1383,15.8245,5.0,24.0,19.03,-68.0,2.0,1.87,35.6537,0.0280476,123.0,125.0,1.05,0.237624,-2.54959,561.694,682.893,2.0,1.0,5.0
549_4824,549.0,4824.0,5236.0,18.8419,17.9141,5.0,7.0,8.47,-69.0,1.0,24.42,1.6466599999999998,0.60729,115.0,120.0,3.42308,2.0,-3.88846,56.1683,115.504,3.0,2.0,3.0
233_7083,233.0,7083.0,7146.0,18.4245,18.7088,5.0,31.0,8.67,-67.0,32.0,57.35,2.64403,0.378211,124.0,123.0,0.771429,0.5,-1.33696,67.4982,50.19600000000001,1.0,1.0,2.0
660_3594,660.0,3594.0,3660.0,18.5756,17.6552,4.0,59.0,21.68,-68.0,44.0,50.1,3.8621,0.25892600000000005,117.0,113.0,2.16216,1.56818,-4.21624,63.8197,141.44799999999995,3.0,1.0,8.0
53_2581,53.0,2581.0,2580.0,16.2141,15.6835,5.0,48.0,23.95,-70.0,28.0,32.04,9.76741,0.102381,123.0,122.0,1.92857,1.54167,-11.4173,617.753,859.711,2.0,2.0,4.0
503_3812,503.0,3812.0,3613.0,19.5357,19.0071,5.0,10.0,54.72,-70.0,58.0,44.62,0.477917,2.09241,118.0,119.0,2.6875,1.42857,-10.5889,30.276,42.6783,3.0,2.0,1.0
190_10130,190.0,10130.0,11113.0,17.9886,16.6812,5.0,35.0,53.41,-70.0,2.0,3.53,9.38544,0.106548,124.0,124.0,1.53061,0.968254,-1.04493,102.204,338.717,2.0,1.0,7.0
246_10551,246.0,10551.0,11762.0,15.3449,14.3029,5.0,31.0,0.18,-70.0,3.0,4.1,233.333,0.00428572,122.0,124.0,1.17857,0.968254,-1.90245,1183.51,2946.41,4.0,1.0,1.0
373_2330,373.0,2330.0,2219.0,19.3777,18.8912,5.0,20.0,57.81,-67.0,32.0,57.99,2.16609,0.461661,122.0,123.0,2.5882400000000003,3.39286,-8.117289999999999,33.1608,50.274,3.0,2.0,4.0
46_3144,46.0,3144.0,3004.0,17.188,16.2989,5.0,46.0,14.23,-69.0,4.0,22.95,13.1703,0.0759284,122.0,123.0,2.2973,0.684932,-7.15007,239.596,467.834,2.0,2.0,4.0
91_8341,91.0,8341.0,7930.0,17.5433,17.6953,5.0,40.0,27.26,-67.0,9.0,52.31,3.16411,0.316045,122.0,117.0,0.820896,1.12727,-1.85224,150.097,134.954,3.0,0.0,7.0
631_9223,631.0,9223.0,9489.0,16.3589,15.8615,5.0,1.0,43.45,-68.0,39.0,41.52,7.12466,0.14035799999999998,118.0,118.0,1.36,0.388235,-0.52725,469.283,683.164,2.0,0.0,4.0
279_5915,279.0,5915.0,6063.0,19.06,17.924,5.0,31.0,8.06,-71.0,0.0,14.99,2.20974,0.452542,123.0,125.0,1.32075,1.90698,0.0818124,38.4773,114.079,3.0,1.0,6.0
736_6095,736.0,6095.0,6336.0,18.6443,18.5847,4.0,55.0,43.99,-67.0,17.0,27.93,3.57206,0.279951,115.0,116.0,0.513158,0.333333,-5.05886,53.5542,53.7932,1.0,1.0,3.0
589_5862,589.0,5862.0,5905.0,19.4915,19.0062,5.0,6.0,37.74,-65.0,59.0,47.95,4.95519,0.201809,119.0,86.0,1.05172,0.911111,-0.8418370000000001,25.7116,39.9484,3.0,1.0,8.0
248_2494,248.0,2494.0,2735.0,14.7592,14.6371,5.0,32.0,18.35,-70.0,22.0,47.61,11.4722,0.0871672,122.0,123.0,2.05,0.921875,-5.22686,2337.86,2221.24,2.0,1.0,4.0
632_1186,632.0,1186.0,1210.0,19.2476,19.0293,5.0,2.0,18.19,-68.0,46.0,10.95,2.04821,0.488231,119.0,106.0,2.83871,0.358974,-5.54315,37.8373,33.2055,3.0,1.0,4.0
297_463,297.0,463.0,570.0,17.1719,16.8721,5.0,28.0,0.52,-68.0,59.0,55.24,2.33012,0.429162,122.0,125.0,1.25926,0.984127,-1.53629,221.547,279.843,3.0,1.0,7.0
263_630,263.0,630.0,606.0,18.5651,16.3577,5.0,29.0,45.12,-67.0,53.0,13.24,3.9822,0.25111700000000003,123.0,125.0,0.782609,0.420455,-8.03607,58.7236,430.877,3.0,1.0,4.0
274_1770,274.0,1770.0,1961.0,14.0428,14.2773,5.0,30.0,4.17,-69.0,56.0,46.17,12.5899,0.07942869999999999,123.0,125.0,1.6739099999999998,0.760563,-6.92558,4170.96,3074.57,2.0,2.0,2.0
296_6071,296.0,6071.0,6387.0,18.9816,18.4264,5.0,28.0,4.98,-68.0,55.0,18.5,1.63741,0.610721,123.0,122.0,2.32432,1.0,-3.97727,45.5302,68.0475,3.0,1.0,3.0
553_11380,553.0,11380.0,12078.0,19.7413,19.1433,5.0,6.0,20.25,-69.0,52.0,54.38,3.0441700000000003,0.328497,117.0,119.0,2.16216,1.05172,-4.615,22.2456,35.5111,3.0,2.0,5.0
387_11487,387.0,11487.0,11917.0,14.4807,15.008,5.0,19.0,47.01,-70.0,15.0,30.8,67.4157,0.0148333,123.0,108.0,2.61765,0.270588,-6.47359,3261.15,1505.47,2.0,2.0,6.0
522_7617,522.0,7617.0,8225.0,18.7441,18.3024,5.0,10.0,13.08,-69.0,19.0,31.2,4.4383599999999985,0.225308,117.0,120.0,1.20755,0.8461540000000001,-2.24536,51.9336,75.7592,2.0,1.0,3.0
528_8073,528.0,8073.0,8076.0,16.4705,16.6291,5.0,9.0,31.56,-70.0,27.0,58.71,1.75813,0.568786,118.0,120.0,0.216495,0.237113,-3.88481,371.614,330.305,1.0,1.0,2.0
104_4709,104.0,4709.0,5011.0,19.2409,18.5134,5.0,41.0,52.58,-69.0,33.0,5.7,1.86601,0.535903,123.0,119.0,2.41667,0.859375,-7.5470000000000015,36.2432,63.6377,3.0,2.0,3.0
212_10559,212.0,10559.0,11313.0,19.7529,18.8036,5.0,32.0,43.69,-68.0,53.0,22.43,2.61408,0.382544,123.0,124.0,3.39286,1.38462,-3.53787,26.3456,50.2018,3.0,1.0,5.0
217_9322,217.0,9322.0,10457.0,15.8119,15.3041,5.0,33.0,39.73,-69.0,54.0,18.33,15.4242,0.0648332,124.0,122.0,1.81818,2.2973,-5.82802,814.834,1256.93,2.0,1.0,7.0
226_2249,226.0,2249.0,2278.0,18.7725,18.8449,5.0,30.0,34.09,-66.0,10.0,42.49,1.6402900000000002,0.609648,124.0,124.0,0.746479,1.10169,-6.26748,48.1421,46.7934,3.0,2.0,5.0
242_3990,242.0,3990.0,4288.0,13.8664,14.7306,5.0,31.0,2.28,-69.0,10.0,49.45,2.98701,0.334783,102.0,97.0,0.8545450000000001,0.830189,-1.3873799999999998,4371.89,2022.39,3.0,1.0,3.0
660_10402,660.0,10402.0,10814.0,19.6606,19.2856,4.0,59.0,1.65,-68.0,50.0,40.91,0.958691,1.04309,115.0,109.0,4.47619,1.94595,-5.20935,31.9994,34.9917,3.0,2.0,2.0
330_5176,330.0,5176.0,5532.0,18.5747,15.5434,5.0,24.0,18.94,-70.0,0.0,12.22,184.21,0.00542859,116.0,120.0,1.9,1.35294,-18.0102,74.41199999999998,1125.92,4.0,2.0,1.0
603_8612,603.0,8612.0,8951.0,19.4124,18.9896,5.0,3.0,58.27,-68.0,41.0,27.04,1.73977,0.574789,119.0,120.0,1.42857,1.35294,-3.78329,28.9608,42.3451,3.0,2.0,5.0
488_1014,488.0,1014.0,989.0,19.5035,19.0263,5.0,13.0,12.08,-68.0,6.0,14.35,1.12479,0.8890549999999999,118.0,120.0,2.10526,1.55319,-8.06991,29.2906,41.6127,3.0,2.0,2.0
38_5412,38.0,5412.0,5027.0,18.433,18.4769,5.0,44.0,2.74,-67.0,37.0,31.66,1.9587,0.5105430000000001,122.0,122.0,0.418605,0.90625,-4.17981,64.233,64.5791,1.0,1.0,3.0
261_1579,261.0,1579.0,1535.0,15.3786,15.079,5.0,29.0,16.61,-67.0,28.0,21.57,67.0926,0.0149048,123.0,125.0,1.32075,4.20833,-6.42937,1169.4,1716.83,2.0,2.0,5.0
354_5935,354.0,5935.0,6333.0,19.2551,17.6344,5.0,23.0,53.22,-69.0,20.0,46.28,19.4806,0.0513331,121.0,118.0,2.78125,2.47059,-0.679538,37.9052,156.43200000000004,2.0,0.0,5.0
364_2743,364.0,2743.0,2551.0,19.5224,18.4036,5.0,23.0,4.25,-71.0,7.0,42.31,1.03779,0.963586,109.0,102.0,1.79487,1.17021,-2.53737,26.2747,70.1915,3.0,1.0,2.0
518_10398,518.0,10398.0,10918.0,18.2271,15.5012,5.0,9.0,40.8,-68.0,33.0,14.5,306.569,0.00326191,118.0,120.0,1.36,0.690141,-17.1422,89.1476,966.507,4.0,2.0,2.0
276_12020,276.0,12020.0,12643.0,19.0574,18.52,5.0,28.0,43.88,-70.0,26.0,6.33,0.599333,1.66852,112.0,125.0,2.86207,1.77778,-7.37368,47.1116,67.1287,3.0,2.0,1.0
559_2369,559.0,2369.0,2220.0,19.4033,18.8915,5.0,6.0,48.87,-70.0,55.0,26.0,0.94589,1.05721,118.0,120.0,2.93333,1.92683,-11.6546,35.1488,47.45,3.0,2.0,2.0
750_7339,750.0,7339.0,7268.0,19.0953,15.7997,4.0,51.0,59.28,-69.0,57.0,45.21,242.775,0.00411904,112.0,115.0,3.14815,1.55556,-10.9651,55.0539,854.549,4.0,2.0,1.0
267_6506,267.0,6506.0,7109.0,20.0093,19.4796,5.0,29.0,57.55,-68.0,45.0,16.26,0.4995600000000001,2.00176,116.0,117.0,0.39759,1.48936,0.324916,13.5816,27.301,1.0,0.0,1.0
502_8763,502.0,8763.0,2744.0,18.6428,15.9981,5.0,11.0,26.75,-70.0,47.0,34.1,823.529,0.00121429,119.0,119.0,0.919355,0.919355,-9.34557,55.2241,645.764,4.0,2.0,2.0
329_7304,329.0,7304.0,7910.0,14.7967,14.1492,5.0,25.0,29.24,-69.0,55.0,13.16,34.0357,0.0293809,124.0,120.0,1.43137,0.935484,-5.7888199999999985,2101.65,3470.34,1.0,1.0,5.0
324_4486,324.0,4486.0,4650.0,19.302,19.6097,5.0,24.0,24.21,-68.0,49.0,22.62,0.483153,2.0697400000000004,123.0,107.0,1.5102,0.597015,-0.20353,31.164,21.6782,3.0,1.0,1.0
7_1989,7.0,1989.0,1898.0,19.3092,18.7721,5.0,46.0,40.27,-67.0,0.0,33.44,2.72253,0.367305,87.0,98.0,1.63636,0.719298,-2.75645,31.4677,48.5495,3.0,1.0,4.0
593_5126,593.0,5126.0,4814.0,19.545,19.0174,5.0,4.0,32.63,-66.0,40.0,48.93,5.33403,0.187476,118.0,120.0,1.74419,1.35294,-1.43466,25.7673,40.8063,3.0,2.0,9.0
249_9933,249.0,9933.0,10274.0,19.2845,18.93,5.0,31.0,59.08,-70.0,39.0,22.47,2.51575,0.397496,123.0,122.0,1.5625,1.71111,-2.02474,31.822,45.8997,3.0,2.0,5.0
251_6187,251.0,6187.0,6394.0,16.2365,15.2831,5.0,33.0,23.09,-70.0,59.0,44.07,15.6018,0.0640952,123.0,122.0,1.79545,2.5882400000000003,-4.7065199999999985,574.9580000000002,1402.18,2.0,1.0,5.0
82_1318,82.0,1318.0,1342.0,18.0646,18.034,5.0,46.0,49.0,-70.0,39.0,14.37,8.83277,0.113215,122.0,118.0,0.876923,1.95,-4.05463,94.5036,101.434,1.0,1.0,5.0
724_2671,724.0,2671.0,2704.0,19.57,19.0268,4.0,53.0,29.27,-70.0,14.0,33.6,2.25361,0.443733,117.0,112.0,2.25,0.69697,-6.5724800000000005,26.7244,37.4279,3.0,2.0,4.0
134_8098,134.0,8098.0,8468.0,18.9981,16.4439,5.0,41.0,15.66,-70.0,2.0,7.39,237.288,0.00421429,122.0,123.0,2.12821,2.84375,-19.1506,59.4519,617.625,4.0,2.0,2.0
271_4304,271.0,4304.0,4708.0,17.6799,15.3077,5.0,28.0,51.55,-69.0,23.0,19.17,280.0,0.00357143,123.0,125.0,0.921875,1.77778,-14.5146,136.102,1269.74,4.0,2.0,2.0
493_5522,493.0,5522.0,5829.0,19.68,18.5059,5.0,11.0,13.95,-68.0,59.0,40.35,1.83439,0.54514,110.0,119.0,0.929825,0.676056,-0.7567649999999999,21.732,61.2922,3.0,0.0,5.0
260_9121,260.0,9121.0,9417.0,17.4379,15.8755,5.0,28.0,6.05,-67.0,25.0,29.48,3.98296,0.25107,123.0,116.0,0.294737,1.46809,-3.66027,147.687,761.922,3.0,0.0,4.0
390_11386,390.0,11386.0,11356.0,19.6334,19.2654,5.0,19.0,45.76,-70.0,52.0,17.46,0.562932,1.7764099999999998,123.0,118.0,2.0,0.573333,-5.52341,25.3878,27.7078,3.0,2.0,1.0
55_3590,55.0,3590.0,3694.0,19.4001,16.2246,5.0,48.0,26.28,-70.0,50.0,53.78,217.616,0.00459525,123.0,122.0,1.23636,0.876923,-11.9827,28.8529,518.474,4.0,1.0,2.0
245_7877,245.0,7877.0,8614.0,17.5501,15.0827,5.0,32.0,3.64,-69.0,52.0,4.25,289.655,0.00345238,123.0,124.0,1.79545,1.2963,-13.8613,164.201,1553.83,4.0,1.0,2.0
314_4916,314.0,4916.0,4548.0,19.5931,19.1654,5.0,23.0,59.3,-66.0,57.0,35.06,1.4059700000000002,0.711253,123.0,124.0,2.32432,1.58333,-9.41608,27.6249,36.4326,3.0,2.0,3.0
308_2790,308.0,2790.0,2741.0,16.4784,15.7525,5.0,27.0,45.35,-71.0,10.0,7.34,14.0234,0.0713094,102.0,107.0,3.63636,0.573529,-1.08056,538.989,766.091,2.0,1.0,5.0
265_2388,265.0,2388.0,2342.0,19.6342,19.027,5.0,29.0,13.16,-68.0,15.0,18.81,3.19492,0.312997,122.0,125.0,1.59574,1.7173900000000002,-6.09209,23.4599,41.7953,3.0,2.0,6.0
217_9437,217.0,9437.0,10590.0,15.4016,15.1307,5.0,33.0,36.88,-69.0,54.0,16.89,10.8136,0.0924761,124.0,122.0,1.6383,2.5882400000000003,-1.90486,1175.59,1509.42,2.0,1.0,5.0
134_3509,134.0,3509.0,3745.0,16.4586,15.7376,5.0,40.0,37.94,-69.0,55.0,35.78,16.5681,0.060357000000000015,124.0,123.0,2.44444,1.12069,-0.29851500000000003,470.358,811.507,2.0,0.0,9.0
583_10010,583.0,10010.0,10607.0,15.5202,15.4523,5.0,4.0,11.65,-70.0,15.0,33.27,15.4355,0.0647857,119.0,118.0,1.64444,0.815385,-4.4214,1041.99,1043.58,2.0,2.0,3.0
517_5402,517.0,5402.0,5544.0,18.8422,18.9581,5.0,9.0,31.88,-68.0,12.0,26.15,1.11576,0.89625,117.0,111.0,2.34286,1.46667,-7.62403,53.0287,44.6663,3.0,2.0,2.0
299_5372,299.0,5372.0,5704.0,18.9198,18.6471,5.0,26.0,16.95,-69.0,23.0,53.59,1.62714,0.614575,122.0,121.0,3.06667,1.01667,-7.97118,52.785,56.021,3.0,2.0,3.0
127_10843,127.0,10843.0,10893.0,20.0648,19.3739,5.0,38.0,47.91,-68.0,41.0,42.31,1.1339,0.881912,122.0,115.0,1.71111,1.01754,-3.4938800000000003,15.8594,27.9294,3.0,1.0,2.0
74_401,74.0,401.0,473.0,19.5339,18.8915,5.0,45.0,22.29,-69.0,9.0,23.58,0.490565,2.03847,121.0,122.0,3.84,2.8125,-10.5766,33.6278,51.4311,3.0,2.0,1.0
252_2986,252.0,2986.0,3029.0,19.1959,18.251,5.0,32.0,19.57,-71.0,6.0,1.73,2.04621,0.488708,110.0,99.0,0.7460319999999999,1.75,-0.352953,33.0967,82.12200000000001,3.0,1.0,5.0
244_2122,244.0,2122.0,2228.0,19.3152,15.8228,5.0,32.0,2.09,-69.0,34.0,59.33,3.97241,0.251736,100.0,99.0,1.27273,0.767857,-12.9145,33.726,743.66,3.0,3.0,4.0
221_6055,221.0,6055.0,6252.0,18.2693,18.2171,5.0,33.0,20.66,-70.0,31.0,33.74,3.37244,0.296521,124.0,123.0,2.0243900000000004,1.6739099999999998,-4.5015,83.6095,84.9519,3.0,2.0,7.0
640_2390,640.0,2390.0,2512.0,18.2179,18.3032,5.0,0.0,25.27,-70.0,16.0,0.74,6.0388199999999985,0.165595,118.0,119.0,1.07018,0.525641,-1.71164,82.12200000000001,73.3318,2.0,0.0,3.0
27_1551,27.0,1551.0,1651.0,19.7333,18.9572,5.0,51.0,29.34,-70.0,45.0,41.39,0.6659689999999999,1.50157,108.0,110.0,1.63415,1.0,-4.631469999999998,22.6323,41.0043,3.0,1.0,1.0
219_5960,219.0,5960.0,6304.0,15.0329,15.003,5.0,35.0,25.01,-70.0,15.0,16.07,9.53891,0.104834,124.0,124.0,1.88372,1.21429,-12.9316,1801.16,1605.73,2.0,3.0,2.0
63_9448,63.0,9448.0,9113.0,19.2638,18.8706,5.0,41.0,58.56,-67.0,9.0,42.5,1.1496,0.869868,122.0,121.0,2.2973,1.75,-7.50715,34.2081,46.9396,3.0,1.0,2.0
659_9839,659.0,9839.0,10020.0,19.1489,19.0713,4.0,59.0,27.46,-68.0,36.0,16.56,1.10831,0.902275,119.0,114.0,0.8888889999999999,0.8387100000000001,-1.58351,34.2125,37.5897,3.0,1.0,5.0
722_6790,722.0,6790.0,6492.0,19.2024,19.1751,4.0,54.0,24.83,-69.0,58.0,12.63,3.03143,0.329877,115.0,106.0,0.0648148,0.927273,-1.41176,26.8063,34.2266,1.0,0.0,1.0
613_3044,613.0,3044.0,2923.0,16.65,15.9429,5.0,2.0,10.21,-70.0,33.0,11.32,6.724289999999999,0.148715,118.0,119.0,1.74419,0.776119,-1.99705,377.751,661.9960000000002,3.0,0.0,10.0
262_968,262.0,968.0,1042.0,19.5598,18.9007,5.0,29.0,34.29,-67.0,43.0,16.81,8.30692,0.120382,123.0,125.0,2.61765,0.5625,-1.3298299999999998,26.6765,41.6832,2.0,1.0,5.0
639_1307,639.0,1307.0,1249.0,19.5849,18.7564,5.0,0.0,55.34,-70.0,8.0,43.32,1.02942,0.971421,116.0,106.0,2.1351400000000003,0.927273,-0.632795,25.2815,49.9032,3.0,1.0,2.0
556_10572,556.0,10572.0,10919.0,16.5207,16.0462,5.0,6.0,11.38,-70.0,25.0,46.0,10.0238,0.0997626,119.0,120.0,0.95082,0.764706,-8.93695,406.133,596.111,2.0,0.0,5.0
666_9597,666.0,9597.0,9871.0,15.2707,15.2208,4.0,57.0,51.18,-69.0,57.0,29.81,69.8835,0.0143095,119.0,114.0,1.975,0.151515,-5.15715,1366.09,1104.75,2.0,2.0,3.0
515_821,515.0,821.0,755.0,19.8114,19.0597,5.0,11.0,16.31,-67.0,53.0,36.1,3.37759,0.296069,118.0,120.0,1.95,1.0339,-3.22359,21.1631,38.2744,3.0,2.0,6.0
666_991,666.0,991.0,1056.0,20.0309,19.5041,4.0,59.0,6.63,-69.0,52.0,9.2,0.470589,2.125,114.0,109.0,1.92308,1.01852,-5.15462,18.2453,24.7006,3.0,2.0,1.0
165_11000,165.0,11000.0,11597.0,16.5545,15.7101,5.0,38.0,16.77,-70.0,34.0,56.82,7.077839999999999,0.141286,124.0,121.0,1.81818,1.01667,-13.1356,437.86800000000005,831.3510000000001,2.0,3.0,2.0
217_3084,217.0,3084.0,3308.0,19.1886,18.5541,5.0,33.0,55.12,-69.0,47.0,29.52,1.81528,0.550879,122.0,120.0,3.06667,2.33333,-6.38357,49.7402,69.8848,3.0,2.0,3.0
329_5851,329.0,5851.0,6181.0,14.1653,14.0921,5.0,26.0,7.91,-69.0,51.0,32.08,16.8068,0.0594997,124.0,120.0,1.58333,0.967213,-10.2863,3832.59,3698.51,2.0,2.0,3.0
212_10832,212.0,10832.0,11616.0,18.4685,17.551,5.0,32.0,37.8,-68.0,53.0,42.23,3.07223,0.325496,124.0,124.0,0.117117,0.7971010000000001,-2.05402,55.2727,151.27200000000005,1.0,0.0,1.0
214_8248,214.0,8248.0,9030.0,19.1518,18.1933,5.0,33.0,49.73,-69.0,18.0,23.0,2.15741,0.463519,124.0,124.0,2.17949,1.25455,-3.75389,38.5026,87.0093,3.0,2.0,3.0
